soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
71.63,21.03,75.57,7.8,37.31,0.5,0.489,5.137,19.6,0,2,1
32.11,25.66,81.87,6.39,103.79,0.5,0.36,4.653,40.99,1,1,2
84.17,32.3,47.61,6.57,84.84,0.5,0.42,16.923,0.0,4,1,0
37.55,35.11,60.83,7.07,27.19,0.5,0.45,13.752,56.29,1,0,2
49.13,22.27,57.08,6.36,25.96,0.5,0.489,9.56,45.14,2,2,2
52.31,24.2,62.59,6.7,46.3,0.5,0.625,9.056,36.85,6,0,1
60.27,31.04,62.66,5.77,18.71,0.5,0.489,11.59,35.94,8,2,1
46.94,17.21,40.12,6.51,70.28,0.5,0.661,10.306,35.89,2,3,2
39.43,26.07,59.67,6.96,2.94,0.5,0.446,10.513,60.89,7,2,2
69.2,27.2,72.22,7.67,59.89,0.5,0.6,7.554,16.25,3,0,1
36.92,31.53,55.22,6.24,50.55,0.5,0.604,14.118,51.05,4,3,2
56.33,18.51,54.4,7.37,33.14,0.5,0.446,8.441,35.91,4,2,1
69.33,18.73,85.16,6.14,67.59,0.5,0.51,2.781,13.84,3,2,0
20.99,30.52,59.39,7.26,11.83,0.5,0.625,12.395,77.41,6,0,3
67.88,16.72,62.15,7.28,38.28,0.5,0.525,6.327,23.18,4,0,1
48.67,28.51,54.81,6.2,35.16,0.5,0.575,12.883,43.35,2,0,2
24.39,24.97,63.95,7.11,133.32,0.5,0.575,9.003,41.33,0,0,2
49.9,18.58,82.2,6.82,1.34,0.5,0.46,3.307,50.9,8,1,2
31.39,38.13,76.25,6.83,64.74,0.5,0.489,9.054,52.49,8,2,3
61.73,33.57,65.98,4.82,97.22,0.5,0.489,11.421,13.45,8,2,1
49.08,25.44,44.51,6.88,0.78,0.5,0.51,14.116,51.99,3,2,2
5.0,25.59,71.38,6.71,5.37,0.5,0.604,7.322,95.07,7,3,4
56.9,19.09,69.12,7.58,7.92,0.5,0.525,5.895,42.29,4,0,1
60.09,38.85,68.53,8.81,13.59,0.5,0.489,12.228,37.49,0,2,1
5.0,28.2,38.81,6.78,51.08,0.5,0.6,17.252,82.82,3,0,4
39.92,24.96,44.85,6.69,38.61,0.5,0.489,13.768,50.96,8,2,2
50.31,23.8,86.97,6.96,20.66,0.5,0.489,3.102,45.38,2,2,1
64.51,33.84,56.96,6.8,27.37,0.5,0.575,14.564,29.6,8,0,1
8.89,29.71,47.62,7.73,45.14,0.5,0.575,15.564,80.46,2,0,4
40.66,25.64,48.95,7.07,5.66,0.5,0.42,13.092,58.87,7,1,2
29.03,33.9,42.44,7.3,0.51,0.5,0.531,19.511,72.17,6,2,3
44.6,23.48,46.66,5.85,108.37,0.5,0.489,12.524,27.59,8,2,1
21.0,33.02,38.99,5.98,4.35,0.5,0.51,20.149,79.11,5,2,3
26.46,32.83,57.62,6.93,32.78,0.5,0.446,13.913,65.87,7,2,3
46.85,16.39,62.26,6.49,5.8,0.5,0.661,6.187,53.24,2,3,2
40.92,29.91,62.79,6.47,134.99,0.5,0.48,11.129,24.12,3,1,1
64.33,28.46,58.96,5.53,7.9,0.5,0.446,11.68,34.67,4,2,1
50.98,17.53,67.42,6.81,55.9,0.5,0.604,5.71,35.56,7,3,1
25.91,30.33,63.36,6.04,72.93,0.5,0.383,11.111,55.51,1,2,3
44.09,25.36,69.65,7.75,3.23,0.5,0.525,7.697,56.36,4,0,2
70.97,28.48,87.01,6.93,23.35,0.5,0.625,3.698,24.34,6,0,1
57.86,31.6,58.0,7.57,20.5,0.5,0.69,13.273,38.37,3,3,1
63.78,23.26,74.51,6.95,42.04,0.5,0.5,5.93,26.2,6,1,1
29.71,27.85,65.25,4.52,52.62,0.5,0.575,9.68,57.63,8,0,3
62.18,30.7,87.86,7.5,9.98,0.5,0.446,3.728,36.27,7,2,1
61.41,32.41,84.63,6.82,11.42,0.5,0.489,4.983,36.75,0,2,1
78.41,30.03,56.92,7.22,29.1,0.5,0.46,12.934,14.94,0,1,0
33.0,35.78,50.15,6.54,38.99,0.5,0.69,17.834,58.29,5,3,3
50.9,21.99,71.11,6.09,0.44,0.5,0.46,6.351,50.13,2,1,1
25.35,27.34,45.2,6.13,5.61,0.5,0.46,14.982,74.3,2,1,3
41.51,32.68,50.52,6.25,62.87,0.5,0.48,16.172,42.85,5,1,2
49.52,27.51,56.81,5.96,14.37,0.5,0.525,11.881,47.94,7,0,2
7.01,29.27,89.0,7.28,12.25,0.5,0.531,3.22,91.04,6,2,4
6.02,17.01,77.59,7.59,9.28,0.5,0.5,3.812,92.75,6,1,4
31.21,33.2,32.74,5.76,10.8,0.5,0.48,22.33,67.09,5,1,3
74.73,21.05,76.1,5.8,18.65,0.5,0.719,5.031,22.08,6,3,1
19.61,41.36,24.73,5.49,31.0,0.5,0.625,31.132,73.65,6,0,4
53.33,28.92,75.17,6.9,7.01,0.5,0.6,7.182,46.29,5,0,1
63.14,25.3,50.35,5.76,27.08,0.5,0.42,12.564,30.65,7,1,1
24.83,29.23,56.87,6.71,1.62,0.5,0.48,12.608,75.93,5,1,3
79.51,23.84,37.38,5.57,1.93,0.5,0.42,14.931,21.02,4,1,1
22.21,30.19,53.77,5.84,59.27,0.5,0.531,13.958,63.24,6,2,3
45.32,26.27,56.25,6.92,40.63,0.5,0.48,11.494,45.0,3,1,2
39.47,30.16,95.24,5.93,16.78,0.5,0.46,1.437,57.19,2,1,2
63.96,31.79,45.05,7.8,2.09,0.5,0.489,17.47,36.71,2,2,1
51.07,24.0,67.45,5.57,24.1,0.5,0.575,7.812,43.91,2,0,1
29.82,28.35,51.95,6.65,11.78,0.5,0.661,13.624,68.68,2,3,3
31.08,37.7,59.2,6.16,69.72,0.5,0.446,15.38,51.36,7,2,3
56.48,34.35,37.0,6.63,35.42,0.5,0.51,21.643,35.3,3,2,1
61.97,21.11,83.67,5.27,24.07,0.5,0.661,3.448,33.23,2,3,1
44.23,27.28,48.16,6.65,36.29,0.5,0.51,14.143,47.32,3,2,2
64.16,41.05,58.03,5.56,23.61,0.5,0.719,17.227,31.31,6,3,1
40.4,24.21,71.95,7.14,49.79,0.5,0.48,6.792,47.46,5,1,2
51.39,20.61,52.74,4.55,6.59,0.5,0.625,9.737,48.4,6,0,1
45.1,30.71,51.78,5.47,22.71,0.5,0.489,14.808,50.04,0,2,2
7.88,32.44,71.56,4.16,76.16,0.5,0.69,9.225,73.44,3,3,4
43.67,22.35,78.16,7.0,7.35,0.5,0.48,4.881,55.56,3,1,2
48.27,24.15,71.78,6.99,120.86,0.5,0.661,6.814,21.01,2,3,1
41.07,28.11,30.52,6.37,34.45,0.5,0.45,19.529,50.83,1,0,2
52.98,17.99,97.94,7.0,41.79,0.5,0.625,0.37,37.39,6,0,1
82.45,20.18,64.38,6.91,12.93,0.5,0.575,7.188,15.53,8,0,1
57.39,39.74,59.6,6.09,15.71,0.5,0.525,16.057,39.71,7,0,1
48.29,33.32,58.1,6.73,9.03,0.5,0.48,13.961,50.49,3,1,2
54.3,33.95,59.04,6.03,79.53,0.5,0.719,13.908,26.2,6,3,1
51.74,30.07,92.88,8.55,14.65,0.5,0.489,2.142,45.56,8,2,1
30.44,31.92,68.35,5.88,61.51,0.5,0.48,10.104,54.28,5,1,3
60.56,32.44,52.93,7.46,1.91,0.5,0.69,15.27,40.66,5,3,1
45.27,31.65,79.61,5.96,22.45,0.5,0.48,6.453,49.92,3,1,2
53.05,28.1,88.02,7.2,41.54,0.5,0.46,3.366,36.97,8,1,1
83.25,27.23,58.58,5.91,0.92,0.5,0.69,11.277,18.23,3,3,1
52.17,23.52,72.67,6.84,33.56,0.5,0.69,6.43,40.57,5,3,1
25.95,31.85,85.6,7.26,35.46,0.5,0.446,4.587,65.67,4,2,3
56.56,32.67,41.31,6.0,8.79,0.5,0.525,19.175,42.4,7,0,1
57.34,32.86,55.02,5.02,63.99,0.5,0.625,14.782,27.08,6,0,1
63.3,18.01,75.83,5.95,14.01,0.5,0.525,4.352,34.25,7,0,1
40.02,30.96,50.24,5.57,0.88,0.5,0.517,15.409,61.04,1,3,2
73.9,25.63,78.45,6.48,3.72,0.5,0.531,5.523,26.43,6,2,1
36.81,30.47,72.77,5.77,5.4,0.5,0.446,8.296,62.86,4,2,2
59.12,33.65,75.77,6.94,1.26,0.5,0.489,8.154,41.77,8,2,1
18.08,22.32,94.43,6.38,1.13,0.5,0.719,1.244,83.41,6,3,4
66.66,22.11,70.27,5.29,4.68,0.5,0.719,6.574,33.88,6,3,1
75.45,27.58,54.08,6.21,45.77,0.5,0.45,12.665,13.42,1,0,0
50.09,31.24,47.3,6.01,35.58,0.5,0.661,16.464,42.03,2,3,1
70.78,29.16,63.94,6.97,3.57,0.5,0.48,10.516,29.47,3,1,1
59.01,26.34,61.7,6.87,9.1,0.5,0.69,10.088,40.28,5,3,1
54.96,25.78,58.03,7.16,8.98,0.5,0.525,10.822,43.95,7,0,1
83.6,16.75,48.34,6.54,10.38,0.5,0.69,8.654,15.35,5,3,1
65.66,23.84,40.86,7.64,0.43,0.5,0.575,14.1,35.66,0,0,1
65.06,39.95,53.25,6.33,28.87,0.5,0.575,18.677,28.65,2,0,1
65.29,40.44,62.51,5.55,110.06,0.5,0.446,15.164,6.35,4,2,0
69.7,17.56,57.04,7.43,0.54,0.5,0.46,7.543,31.3,2,1,1
51.12,22.88,49.97,9.0,36.82,0.5,0.45,11.446,40.14,1,0,1
17.38,18.54,57.89,7.61,1.93,0.5,0.51,7.808,83.38,3,2,4
29.75,31.14,66.54,6.38,28.94,0.5,0.525,10.421,63.81,4,0,3
44.23,30.21,50.14,5.13,36.27,0.5,0.51,15.063,47.33,5,2,2
64.15,29.32,48.62,4.21,8.15,0.5,0.604,15.063,35.18,7,3,1
38.33,23.24,58.39,5.67,6.93,0.5,0.48,9.67,61.01,5,1,2
47.67,18.87,52.74,6.11,58.57,0.5,0.46,8.917,37.79,0,1,2
50.76,25.83,74.21,7.04,6.46,0.5,0.48,6.66,48.71,3,1,1
29.51,23.42,58.84,6.57,16.65,0.5,0.51,9.638,67.31,5,2,3
56.83,38.26,51.29,7.2,9.18,0.5,0.42,18.638,41.76,4,1,1
44.5,30.39,54.06,6.96,2.65,0.5,0.42,13.964,55.84,4,1,2
49.7,28.53,80.5,6.65,97.23,0.5,0.719,5.563,26.05,6,3,1
70.33,25.99,56.6,5.44,1.36,0.5,0.46,11.281,30.45,2,1,1
53.04,27.15,68.04,7.01,51.1,0.5,0.446,8.675,34.39,4,2,1
66.81,28.06,73.23,5.15,13.82,0.5,0.42,7.513,30.53,7,1,1
22.14,33.33,52.97,4.15,55.22,0.5,0.575,15.676,64.51,8,0,3
11.89,24.71,50.43,5.54,27.66,0.5,0.383,12.248,81.66,1,2,4
54.25,27.35,52.28,5.11,6.2,0.5,0.575,13.051,45.52,8,0,1
17.26,30.37,77.97,6.26,117.15,0.5,0.48,6.691,52.56,3,1,3
91.9,42.93,43.98,4.98,19.74,0.5,0.6,24.048,4.32,5,0,0
91.61,20.16,64.7,6.24,24.38,0.5,0.575,7.115,3.3,0,0,0
48.49,41.59,52.04,6.85,5.67,0.5,0.575,19.947,51.43,0,0,2
88.07,31.97,58.2,6.1,63.91,0.5,0.661,13.364,0.0,0,3,0
52.68,28.71,42.29,7.01,39.36,0.5,0.46,16.568,37.93,0,1,1
44.44,27.6,48.66,6.59,17.26,0.5,0.48,14.167,52.14,5,1,2
33.5,19.86,58.82,6.61,32.5,0.5,0.69,8.18,59.52,5,3,3
75.88,20.29,60.3,5.65,0.57,0.5,0.525,8.057,25.28,7,0,1
81.07,28.38,39.27,5.25,3.02,0.5,0.383,17.235,19.08,1,2,1
29.25,21.61,43.62,6.19,4.61,0.5,0.46,12.183,70.67,2,1,3
48.14,31.01,51.52,6.42,66.32,0.5,0.48,15.033,35.3,3,1,2
63.24,30.7,52.12,5.37,3.25,0.5,0.48,14.699,37.09,5,1,1
61.05,32.22,61.13,6.96,41.32,0.5,0.489,12.523,29.1,8,2,1
80.15,39.47,33.78,6.24,18.71,0.5,0.661,26.14,16.49,8,3,1
59.89,23.06,88.12,6.5,43.44,0.5,0.517,2.74,29.76,1,3,1
19.87,26.79,42.57,6.92,25.34,0.5,0.36,15.386,74.24,1,1,4
60.81,25.55,54.52,5.97,34.69,0.5,0.575,11.62,31.33,0,0,1
95.0,37.34,64.37,6.95,80.74,0.5,0.604,13.305,0.0,4,3,0
32.41,26.51,46.34,8.19,45.15,0.5,0.383,14.226,56.45,1,2,3
20.17,27.38,52.77,5.72,24.25,0.5,0.575,12.93,74.77,2,0,3
80.15,29.52,67.28,6.33,172.52,0.5,0.661,9.661,0.0,2,3,0
13.65,21.99,76.83,6.84,82.83,0.5,0.489,5.094,65.38,0,2,3
53.8,22.12,64.16,6.99,48.38,0.5,0.46,7.927,34.39,0,1,1
30.43,33.98,51.04,6.42,28.94,0.5,0.531,16.636,63.15,6,2,3
7.25,31.02,72.84,7.38,0.78,0.5,0.489,8.425,93.76,0,2,4
36.42,20.45,77.83,6.47,2.76,0.5,0.42,4.533,63.89,7,1,2
88.89,30.01,73.44,8.15,17.42,0.5,0.625,7.971,8.01,6,0,0
43.46,34.82,56.27,7.42,0.66,0.5,0.575,15.225,57.8,8,0,2
61.52,38.31,68.67,7.02,19.57,0.5,0.489,12.001,34.46,0,2,1
64.39,30.45,36.28,6.5,54.4,0.5,0.45,19.399,22.17,1,0,1
32.87,28.72,44.22,7.26,11.9,0.5,0.383,16.022,64.9,1,2,3
73.17,25.03,40.02,7.25,55.99,0.5,0.51,15.014,13.11,5,2,0
61.71,35.3,67.32,6.52,35.68,0.5,0.489,11.534,29.96,2,2,1
54.32,32.95,79.77,6.53,6.79,0.5,0.446,6.664,44.98,7,2,1
53.7,33.8,88.69,7.45,9.6,0.5,0.42,3.825,44.78,4,1,1
19.1,33.84,76.65,6.91,15.52,0.5,0.46,7.903,77.89,0,1,4
28.07,38.36,82.28,6.82,9.12,0.5,0.6,6.797,70.98,3,0,3
71.42,33.18,57.76,5.28,1.89,0.5,0.48,14.015,29.27,3,1,1
86.82,36.22,48.3,8.25,81.87,0.5,0.719,18.726,0.0,6,3,0
55.85,25.78,57.98,6.21,16.59,0.5,0.383,10.834,40.66,1,2,1
41.51,26.51,75.33,6.9,85.07,0.5,0.489,6.542,36.93,2,2,2
77.6,19.84,63.23,5.52,10.44,0.5,0.489,7.296,20.83,0,2,1
66.46,29.6,20.87,6.69,60.33,0.5,0.625,23.425,18.94,6,0,1
39.22,18.63,45.2,7.26,26.05,0.5,0.6,10.21,55.3,3,0,2
22.51,31.05,89.65,8.03,18.02,0.5,0.46,3.213,73.81,8,1,3
84.68,32.49,61.4,4.96,41.25,0.5,0.489,12.542,5.49,8,2,0
70.68,41.99,61.41,6.31,13.3,0.5,0.42,16.203,26.81,7,1,1
85.98,32.3,57.36,7.12,68.05,0.5,0.719,13.77,0.0,6,3,0
54.05,28.6,58.65,7.12,3.61,0.5,0.604,11.827,46.5,7,3,1
82.57,25.05,36.48,6.36,8.27,0.5,0.69,15.911,16.94,3,3,1
69.55,30.49,27.2,7.46,6.64,0.5,0.69,22.2,30.39,3,3,1
95.0,30.0,52.73,5.32,126.59,0.5,0.446,14.183,0.0,7,2,0
82.99,24.71,55.37,6.12,49.41,0.5,0.51,11.029,5.05,3,2,0
52.02,20.7,86.73,6.85,63.18,0.5,0.517,2.747,32.35,1,3,1
15.76,22.51,56.35,5.98,26.41,0.5,0.36,9.823,78.07,1,1,4
31.48,27.28,58.45,6.49,17.58,0.5,0.69,11.334,65.54,5,3,3
15.54,29.17,29.4,6.38,17.83,0.5,0.575,20.592,81.12,0,0,4
61.28,29.07,54.48,6.9,35.27,0.5,0.525,13.234,30.59,7,0,1
59.79,23.05,62.24,6.79,12.09,0.5,0.51,8.702,38.25,5,2,1
39.83,28.14,45.19,6.94,30.61,0.5,0.661,15.423,53.63,2,3,2
45.64,21.23,36.71,5.33,7.4,0.5,0.46,13.434,53.52,0,1,2
78.82,33.93,55.53,4.94,6.1,0.5,0.46,15.091,20.69,2,1,1
54.77,26.03,55.12,6.54,6.91,0.5,0.446,11.682,44.49,4,2,1
51.03,20.72,64.45,7.21,7.26,0.5,0.383,7.366,47.98,1,2,1
80.88,25.03,44.03,5.32,21.75,0.5,0.575,14.012,14.73,8,0,0
80.88,24.23,62.45,6.59,31.72,0.5,0.46,9.098,11.77,8,1,0
47.28,27.26,52.05,7.32,11.93,0.5,0.525,13.07,50.84,4,0,2
50.0,36.55,58.34,5.39,11.22,0.5,0.46,15.226,48.14,8,1,1
32.93,24.84,60.0,6.06,6.83,0.5,0.51,9.934,66.51,3,2,3
78.64,30.18,81.89,5.1,78.31,0.5,0.661,5.466,2.03,8,3,0
44.17,23.62,70.97,6.03,11.19,0.5,0.48,6.856,54.03,5,1,2
36.51,21.91,48.65,5.72,39.03,0.5,0.531,11.252,54.37,6,2,2
88.83,28.85,56.33,6.05,23.71,0.5,0.604,12.601,6.33,4,3,0
64.09,35.6,59.27,7.49,107.46,0.5,0.69,14.501,8.85,5,3,1
