N,P,K,pH,Moisture,Fertility
88.9,36.24,66.33,7.15,24.82,High
72.01,0.06,0.0,6.87,54.0,Medium
37.9,30.46,17.79,6.56,23.61,Medium
74.18,0.0,96.29,6.71,61.27,Medium
88.88,34.4,63.63,6.73,66.18,High
70.85,1.25,47.65,5.35,61.45,Medium
44.3,24.17,40.9,7.61,66.16,Medium
120.26,42.06,17.09,6.32,30.24,High
108.74,47.5,33.34,7.0,10.73,High
44.71,0.0,25.33,8.63,59.89,Medium
94.92,33.67,39.45,7.07,35.19,Medium
62.37,34.84,61.11,4.66,81.84,Medium
84.47,11.61,31.17,6.21,35.83,Medium
72.27,33.32,13.34,6.04,57.02,Medium
58.47,59.54,41.15,6.66,51.43,High
106.56,15.76,18.87,4.64,52.77,Medium
90.02,63.82,37.69,6.03,62.81,High
60.39,25.86,44.28,6.6,71.17,Medium
80.98,3.95,5.35,6.0,27.33,Medium
0.0,3.74,30.09,7.07,79.86,Medium
69.3,49.77,6.7,5.97,82.66,Medium
58.75,0.0,0.0,6.18,61.33,Medium
21.92,44.65,45.96,8.46,68.56,Medium
74.2,25.91,54.95,5.64,34.74,Medium
37.32,41.6,69.22,8.17,69.28,Medium
50.22,32.33,26.43,6.43,56.12,Medium
102.79,29.2,23.52,6.67,51.44,High
105.34,79.63,55.01,6.29,75.49,High
17.53,39.19,42.1,5.78,66.05,Medium
73.43,46.99,40.91,6.81,47.47,High
90.61,8.41,48.11,8.22,66.07,Medium
47.46,30.32,23.32,4.82,39.37,Medium
53.43,10.48,13.28,6.62,61.72,Medium
64.18,47.03,50.83,7.41,11.57,High
13.96,1.57,18.63,4.87,51.97,Low
80.91,18.53,19.05,5.45,47.12,Medium
40.07,54.27,33.44,4.82,95.0,Medium
24.35,14.93,48.16,5.46,53.0,Medium
87.03,5.75,23.91,6.14,57.75,Medium
86.71,45.7,40.9,6.14,42.82,High
82.5,80.86,0.0,5.36,50.0,Medium
32.97,29.22,16.32,7.05,39.48,Medium
118.81,0.0,61.71,6.44,69.43,High
67.67,10.88,0.0,5.72,84.89,Low
34.71,51.13,44.22,6.45,48.64,High
65.59,22.55,39.34,5.81,28.37,Medium
0.0,35.06,19.1,5.8,82.29,Medium
120.96,65.24,30.27,7.05,59.95,High
65.68,14.99,71.7,5.55,60.7,Medium
48.31,16.84,21.01,7.66,43.76,Medium
87.03,53.21,0.0,7.23,48.71,High
18.23,31.54,63.39,8.72,52.39,Medium
56.93,7.09,14.68,6.05,61.32,Medium
95.0,46.08,28.49,4.97,61.4,Medium
12.36,27.95,40.48,6.18,52.31,Medium
58.67,11.41,64.22,6.38,49.97,Medium
76.09,29.75,17.11,7.59,59.98,Medium
52.02,52.9,44.92,7.06,91.83,High
51.76,29.29,32.07,6.57,51.96,Medium
44.29,27.23,3.72,5.53,48.72,Medium
61.41,17.15,0.0,5.1,75.79,Low
127.67,62.19,22.55,7.6,77.1,Medium
12.43,39.23,0.0,5.27,29.98,Low
64.95,63.01,59.19,4.23,45.05,Medium
79.1,14.62,11.21,8.49,55.37,Low
55.49,32.54,22.52,8.48,48.56,Medium
76.9,39.99,31.75,7.72,83.8,Medium
29.84,0.0,6.14,7.09,45.24,Medium
59.68,13.44,2.66,5.39,54.07,Low
49.22,43.25,32.35,5.7,43.57,Medium
69.52,23.52,42.18,5.24,88.67,Medium
47.35,16.62,26.52,7.1,30.05,Medium
144.04,15.07,15.84,5.58,53.8,Medium
73.17,37.14,48.85,6.5,48.42,High
39.18,34.7,38.95,6.31,42.34,Medium
88.71,57.2,29.97,8.27,15.58,Medium
118.76,67.43,34.13,5.25,66.65,Medium
111.89,30.66,59.61,7.91,72.2,Medium
74.66,28.2,54.15,7.47,57.76,High
91.19,70.4,3.8,7.22,43.47,High
125.13,33.39,17.54,7.65,70.44,Medium
70.07,45.38,25.34,7.36,44.86,High
60.15,55.07,25.3,7.86,23.3,Medium
60.3,20.81,4.77,7.84,59.76,Medium
81.79,64.01,44.34,5.97,58.68,High
20.72,75.26,29.08,5.52,42.56,Medium
27.08,35.85,26.52,5.94,81.19,Medium
86.45,4.82,25.18,8.09,59.65,Medium
81.67,7.48,27.97,8.04,40.32,Medium
58.16,25.43,0.0,5.97,52.96,Medium
49.99,5.22,0.0,6.77,66.09,Medium
13.39,42.94,0.0,7.82,21.21,Medium
73.98,72.59,13.88,6.84,5.67,Medium
0.0,31.55,29.98,7.68,26.15,Medium
85.06,37.37,48.57,5.77,45.41,High
79.79,25.02,16.99,6.17,75.56,Medium
70.4,14.23,51.48,6.68,95.0,Medium
95.54,0.0,20.49,6.68,65.22,Medium
69.1,52.85,16.62,5.37,58.81,Medium
74.61,11.86,25.8,6.02,20.36,Medium
37.09,44.04,18.67,6.36,77.74,Medium
73.93,0.0,21.17,7.84,91.71,Medium
106.92,0.0,60.9,6.07,54.36,High
37.27,7.22,27.09,7.7,35.05,Low
73.09,22.51,12.58,7.06,85.58,Medium
22.38,24.61,65.87,5.39,10.22,Medium
83.71,25.82,72.58,6.57,25.26,High
86.03,0.0,46.29,4.61,35.9,Medium
48.93,27.83,20.83,6.18,25.18,Medium
47.47,71.81,5.26,6.56,51.6,Medium
40.34,46.3,29.43,8.69,68.17,Medium
132.57,23.14,54.96,7.19,39.56,High
68.93,14.22,41.43,6.18,17.92,Medium
31.39,0.0,5.04,6.53,86.69,Low
36.7,2.55,22.22,7.78,95.0,Low
86.31,62.72,31.55,6.06,34.87,High
90.01,18.35,26.47,8.55,31.18,Medium
59.89,38.59,46.48,6.27,5.0,Medium
7.41,40.8,15.47,4.92,45.07,Medium
80.59,49.46,44.24,6.11,39.64,High
48.6,24.55,20.53,6.72,57.1,Medium
14.79,35.91,0.0,6.79,28.99,Medium
49.19,26.92,9.39,8.2,95.0,Low
31.85,38.31,21.76,8.13,38.77,Low
77.26,33.86,24.87,6.55,47.86,Medium
40.08,38.87,7.08,7.03,39.32,Medium
24.95,32.68,41.35,6.73,59.62,Medium
70.85,47.33,13.17,5.07,65.47,Medium
54.5,18.74,36.21,5.21,41.62,Medium
71.2,15.83,20.73,7.63,74.01,Medium
58.45,57.84,11.86,6.13,22.21,Medium
34.05,28.1,62.53,6.07,39.46,Medium
93.66,40.54,41.08,6.26,36.12,High
82.24,36.81,87.31,5.8,17.17,Medium
73.48,52.57,38.51,3.5,6.48,Medium
17.48,59.93,36.43,6.25,31.89,Medium
58.71,49.58,42.21,5.26,68.34,Medium
98.96,41.3,14.62,8.04,52.64,Medium
23.78,21.29,22.09,6.24,68.64,Medium
10.58,19.03,57.56,7.12,43.72,Medium
22.39,40.22,6.76,7.01,62.9,Medium
103.06,23.3,62.69,6.89,64.01,High
39.03,52.44,26.45,5.04,20.93,Medium
64.55,11.47,29.85,5.1,24.11,Low
87.19,19.49,9.6,6.68,35.32,Medium
71.08,32.87,16.1,7.25,65.87,Medium
98.08,49.16,25.8,7.68,59.17,High
48.76,52.54,7.43,5.46,33.46,Medium
74.41,56.14,13.7,6.01,29.47,Medium
42.26,34.34,34.56,5.03,67.89,Medium
46.34,15.23,20.93,9.0,33.66,Medium
53.07,40.09,39.42,5.25,37.41,Medium
71.98,56.38,33.48,6.4,50.15,High
54.78,12.95,37.02,6.69,30.76,Medium
51.17,1.29,11.54,8.16,88.37,Low
105.41,10.57,28.14,8.85,35.81,Medium
101.48,18.39,2.2,8.85,54.46,Medium
80.58,46.69,49.15,6.4,38.55,High
2.36,20.47,0.0,8.28,80.96,Low
87.02,17.15,58.48,5.26,40.21,Medium
13.35,41.34,42.22,6.74,56.41,High
62.91,49.49,59.26,6.21,77.98,High
82.29,44.42,30.71,6.33,78.69,High
25.14,32.96,20.83,6.67,79.39,Medium
69.97,21.58,30.09,4.98,45.37,Medium
46.05,25.26,32.01,6.38,42.25,Medium
41.03,38.24,51.12,4.2,34.37,Medium
33.27,19.1,41.21,6.65,69.14,Medium
26.95,24.87,47.82,7.77,41.68,Medium
125.8,39.47,37.1,5.98,37.3,Medium
54.47,14.22,7.12,6.97,78.16,Medium
76.91,49.17,0.0,7.49,57.39,Medium
38.9,15.5,12.99,8.61,51.83,Low
56.92,0.0,21.99,6.19,16.67,Medium
0.0,62.75,40.41,9.0,52.57,Medium
85.9,72.32,21.75,6.01,52.15,High
75.3,17.69,1.21,6.75,56.2,Medium
98.95,34.14,24.09,6.61,32.65,Medium
32.69,15.48,52.89,6.34,58.79,Medium
29.98,36.61,0.0,6.67,52.86,Medium
24.84,0.0,2.45,7.66,90.45,Low
61.56,0.0,27.28,5.37,43.2,Medium
24.07,19.87,30.36,6.97,25.89,Medium
112.5,44.25,29.51,6.07,54.84,High
54.1,49.06,64.01,6.72,52.18,High
50.53,25.08,38.31,6.03,66.08,Medium
77.22,28.0,25.89,6.12,67.24,Medium
119.32,34.22,43.65,6.96,42.76,High
31.59,14.46,20.49,5.88,42.68,Medium
61.68,36.3,34.9,5.58,41.16,Medium
67.27,38.21,31.46,6.07,27.33,Medium
49.6,7.9,50.62,5.22,47.52,Medium
73.17,42.2,31.85,7.09,32.77,Medium
90.1,28.02,34.59,6.74,38.2,Medium
80.11,32.83,39.07,7.1,36.81,Medium
66.98,4.12,46.72,6.02,80.81,Medium
58.59,41.01,9.75,7.89,37.79,Medium
60.15,64.51,42.7,7.76,26.73,Medium
24.18,47.33,35.97,5.29,49.18,Medium
90.56,70.91,8.85,6.47,54.83,High
86.16,70.69,18.69,4.95,20.69,Medium
72.93,29.3,15.87,4.52,53.54,Medium
109.11,11.52,0.0,7.39,66.91,Medium
48.82,15.85,10.5,8.35,41.85,Medium
37.18,29.0,23.63,5.62,5.0,Medium
23.67,47.72,3.87,8.23,55.26,Medium
78.19,44.06,15.9,6.04,57.49,High
20.41,18.0,7.9,4.79,53.92,Low
54.17,27.16,42.09,8.11,59.29,Medium
27.89,60.75,32.87,6.36,77.54,Medium
100.13,17.6,31.89,7.55,32.85,Medium
90.05,39.91,32.36,6.66,88.46,Medium
76.75,32.36,38.97,7.71,25.37,Medium
61.27,25.59,14.41,6.32,47.77,Medium
48.46,56.14,34.79,7.78,44.38,Medium
48.58,67.73,27.22,6.34,43.33,High
73.9,37.51,35.55,5.95,45.53,Medium
68.05,19.83,29.13,6.16,58.78,Medium
38.55,21.99,20.6,5.52,74.45,Medium
38.04,48.15,10.75,7.71,33.28,Medium
76.25,0.0,38.81,6.99,86.84,Medium
27.32,46.56,54.51,8.08,67.39,Medium
106.67,56.9,65.81,7.02,72.45,High
58.32,27.84,30.56,6.5,76.48,Medium
24.08,19.77,0.0,5.44,52.73,Low
56.07,26.21,38.38,6.56,65.59,Medium
83.74,0.0,25.48,5.83,63.18,Medium
0.0,19.44,62.91,6.77,33.56,Medium
34.6,48.46,0.0,7.17,32.44,Medium
46.15,0.0,37.19,6.59,65.01,Medium
11.34,22.3,29.85,4.54,39.31,Low
79.48,26.95,0.0,7.37,37.6,Medium
60.43,0.0,24.96,6.39,44.28,Medium
51.65,16.04,34.42,6.45,59.95,Medium
78.27,98.92,73.7,6.11,26.06,High
29.19,29.99,61.02,6.9,66.11,Medium
62.42,43.23,3.49,6.91,23.19,Medium
23.08,81.36,21.61,5.7,57.65,Medium
59.95,66.84,34.65,7.09,62.16,High
56.62,37.24,30.75,6.53,24.09,Medium
84.6,0.0,7.0,6.07,63.91,Medium
85.76,16.5,4.13,6.55,16.22,Medium
78.98,13.09,37.21,7.82,68.14,Medium
45.31,48.42,17.38,5.86,65.94,Medium
62.39,37.1,21.49,5.53,79.42,Medium
48.09,85.18,31.98,6.49,30.94,Medium
61.79,25.14,34.28,6.62,35.2,Medium
30.47,38.56,3.2,8.84,56.46,Low
31.35,21.27,3.05,6.85,27.52,Medium
106.98,33.24,77.72,5.59,51.38,High
82.35,27.12,47.72,5.51,92.44,Medium
97.24,55.28,19.59,5.32,25.1,Medium
59.3,69.41,59.66,6.23,35.38,High
53.36,0.0,21.34,6.59,31.93,Medium
50.21,0.0,14.96,5.31,74.73,Low
29.84,28.94,66.24,6.89,25.33,Medium
62.91,26.68,28.35,6.43,56.47,Medium
40.94,26.14,30.84,6.45,63.25,Medium
43.37,14.89,49.34,6.6,59.31,Medium
85.91,32.78,0.0,6.09,33.67,Medium
55.76,23.72,17.92,7.14,71.43,Medium
57.6,51.72,64.86,6.29,45.01,High
64.38,55.67,57.65,7.81,25.07,Medium
92.56,32.79,42.53,6.09,5.0,High
83.57,22.68,50.52,6.44,36.35,High
28.22,55.29,0.0,5.5,54.44,Medium
74.33,32.24,57.46,7.12,66.21,High
45.79,10.6,65.98,6.6,19.49,Medium
76.11,42.88,24.47,7.16,53.49,High
44.09,0.0,28.0,7.06,35.07,Medium
36.69,27.39,30.08,5.89,87.54,Medium
83.07,27.48,50.5,5.72,67.63,High
32.78,60.51,41.49,7.17,77.68,Medium
63.38,48.63,46.53,6.29,60.76,High
110.55,24.01,17.97,4.87,44.7,Medium
87.03,14.87,33.91,7.43,53.97,Medium
83.55,5.37,19.46,6.18,47.09,Medium
68.75,45.62,50.35,7.71,64.0,High
23.87,41.57,28.09,6.75,63.53,Medium
79.33,28.59,30.13,4.72,72.06,Medium
45.57,46.7,14.28,6.24,64.12,Medium
34.55,30.46,37.04,7.62,51.99,Medium
40.38,9.27,49.68,6.54,42.78,Medium
69.57,70.28,27.87,5.96,40.37,Medium
34.79,17.32,16.15,6.18,67.76,Medium
49.05,21.35,5.8,5.49,5.0,Low
4.92,28.01,6.92,5.65,20.62,Low
43.4,34.63,63.75,4.32,33.96,Medium
83.78,12.93,42.68,7.1,73.95,Medium
36.17,49.69,25.28,6.24,40.62,Medium
14.96,25.63,39.47,5.0,95.0,Low
90.71,44.72,37.47,8.02,47.77,Medium
92.23,0.0,46.35,6.02,38.12,Medium
21.62,21.12,32.82,7.44,23.33,Medium
79.08,0.0,21.28,6.81,31.69,Medium
53.58,41.32,35.93,6.77,77.12,Medium
80.79,9.97,0.0,7.62,76.41,Medium
58.43,51.13,18.49,6.19,58.85,High
64.21,16.06,43.66,6.02,54.04,High
76.81,19.34,39.49,5.12,32.88,Medium
5.91,35.81,14.68,6.33,65.99,Medium
78.15,13.1,53.63,6.28,14.0,Medium
28.23,46.28,23.81,5.36,81.56,Medium
103.87,18.27,0.0,5.9,39.47,Medium
10.95,45.79,39.93,5.58,52.61,Medium
102.4,0.0,38.81,6.14,49.07,Medium
0.0,26.12,0.0,5.42,47.44,Low
53.23,38.28,40.53,6.47,81.69,Medium
30.88,49.22,29.04,7.66,19.63,Medium
91.25,20.41,18.76,7.13,76.57,Medium
30.41,0.0,75.75,7.52,45.56,Medium
55.75,8.4,27.5,5.42,30.77,Low
39.07,27.95,14.35,6.19,42.07,Medium
46.32,9.61,15.37,5.45,26.35,Low
76.51,27.88,47.22,8.82,63.96,Medium
71.56,35.22,23.74,6.74,55.97,Medium
48.22,16.39,36.06,6.42,37.71,Medium
23.62,35.7,45.09,5.86,41.67,Medium
69.31,88.49,17.57,6.9,37.71,Medium
0.0,40.25,15.76,8.0,75.83,Medium
62.1,23.41,58.83,7.81,58.91,Medium
94.48,37.23,27.63,6.26,79.46,Medium
44.31,0.0,27.83,6.11,54.91,Medium
66.83,6.32,51.27,6.46,19.34,Medium
67.46,43.69,54.28,5.63,48.66,High
74.17,37.35,23.58,6.27,67.21,Medium
53.58,37.38,44.77,7.91,42.22,Medium
63.36,7.09,0.0,5.28,60.46,Low
26.44,47.91,0.0,7.16,30.47,Medium
90.03,23.05,12.09,9.0,5.0,Medium
13.34,24.61,70.63,6.73,27.12,Medium
68.67,30.67,57.2,6.4,71.88,Medium
53.56,1.86,12.54,6.9,55.93,Medium
54.34,18.22,0.0,6.92,50.94,Medium
61.22,22.34,6.48,8.14,62.22,Medium
81.61,10.43,21.59,4.93,50.11,Medium
66.83,26.34,26.88,7.75,81.34,Medium
88.37,26.03,28.63,5.28,69.52,Medium
87.76,78.74,21.88,8.56,46.39,Medium
97.95,9.82,19.36,4.32,37.58,Medium
34.1,9.31,22.6,5.48,68.86,Low
58.54,17.63,8.3,5.64,53.77,Medium
49.89,0.0,45.29,8.15,21.92,Medium
44.57,32.73,39.85,7.45,24.55,Medium
97.4,30.57,52.07,6.32,69.07,High
70.31,0.0,6.49,5.46,86.74,Low
74.46,19.37,14.97,6.18,30.5,Medium
100.91,66.14,48.65,5.29,76.87,Medium
60.18,20.13,31.49,7.54,27.5,Medium
30.4,28.13,30.6,6.47,68.23,Medium
111.29,51.06,27.64,7.38,23.54,High
68.74,0.0,17.13,5.65,76.43,Medium
26.92,27.85,0.0,6.96,58.29,Medium
18.41,60.15,39.3,4.85,53.86,Medium
26.48,52.07,38.83,6.14,40.66,Medium
112.69,24.99,45.19,7.59,43.77,High
25.58,46.6,0.0,6.84,23.67,Medium
78.74,58.53,53.18,4.7,31.64,Medium
36.58,39.36,4.62,7.68,55.23,Medium
0.0,38.09,14.8,5.32,46.71,Low
69.36,17.97,43.04,7.57,9.5,Medium
43.06,40.9,26.24,6.85,40.82,High
65.99,41.15,34.77,7.68,80.75,Medium
34.33,35.74,49.7,4.73,44.24,Medium
94.01,54.29,37.8,7.43,11.97,High
9.73,15.79,4.34,7.19,57.07,Medium
105.73,23.43,32.06,6.55,69.64,High
57.17,20.84,3.56,6.62,47.25,Medium
88.77,41.09,27.06,6.67,26.88,High
115.34,63.76,64.34,6.74,43.01,High
134.19,37.48,26.89,7.27,49.62,High
38.49,44.56,29.55,5.86,17.6,Medium
18.19,36.44,19.5,7.73,19.73,Medium
52.3,22.12,14.0,6.33,47.31,Medium
48.93,29.63,0.0,7.87,32.0,Medium
29.67,7.82,33.87,7.59,46.46,Medium
68.98,38.28,12.85,8.17,31.33,Low
104.17,77.91,57.61,5.31,58.01,High
77.21,19.07,4.9,6.94,54.61,Medium
62.76,37.15,44.33,7.58,25.97,Medium
0.0,13.41,63.78,7.14,74.68,Medium
49.77,24.84,17.85,5.42,41.41,Medium
62.54,9.48,30.31,5.9,33.5,Medium
39.33,18.13,11.16,5.62,85.08,Low
67.7,22.21,39.04,6.56,25.61,Medium
75.7,71.66,7.47,6.3,47.93,Medium
118.6,1.3,17.91,6.44,47.19,Medium
101.46,0.0,38.09,6.06,36.54,Medium
54.96,47.95,15.22,6.85,42.5,High
94.86,0.0,54.97,5.61,82.54,Medium
89.21,31.01,10.43,5.89,69.17,Medium
77.21,29.23,21.64,6.8,51.99,Medium
105.01,33.38,22.62,7.05,20.8,Medium
35.35,16.94,43.03,6.33,58.02,Medium
55.07,43.22,26.7,7.21,67.09,High
113.43,28.65,34.49,5.93,44.09,Medium
43.04,0.0,33.39,6.04,37.1,Medium
89.72,24.27,7.15,6.46,21.23,Medium
87.6,25.27,22.73,7.67,40.02,Medium
50.22,45.17,40.17,5.99,78.78,Medium
88.83,14.81,24.2,8.18,44.01,Medium
66.76,25.51,48.69,7.26,46.82,High
41.76,31.5,25.62,5.65,37.2,Medium
42.91,20.55,42.79,6.45,35.8,Medium
63.47,38.25,28.94,5.56,75.01,Medium
55.45,0.0,6.15,5.66,29.45,Low
96.31,33.65,51.53,6.8,31.41,High
88.02,54.02,39.71,5.54,37.28,Medium
37.93,31.83,57.61,6.53,51.69,Medium
0.0,38.61,12.53,6.31,26.91,Medium
74.87,38.5,17.8,6.19,67.69,Medium
84.94,17.34,61.56,6.71,67.32,High
93.17,6.26,27.33,6.09,39.69,Medium
80.91,26.39,59.6,5.5,76.35,Medium
46.69,53.06,22.69,4.61,82.42,Medium
47.25,9.99,27.08,5.96,60.32,Medium
70.86,30.58,26.29,5.54,61.16,Medium
81.02,6.25,6.45,8.86,56.15,Medium
21.37,33.15,45.54,8.33,19.63,Medium
26.62,33.99,0.0,5.96,33.53,Low
60.48,29.8,31.98,6.19,42.24,Medium
71.41,56.76,8.31,4.54,41.15,Medium
58.11,39.67,43.39,6.62,54.07,High
44.16,14.77,39.81,7.92,73.41,Medium
50.76,2.68,43.68,6.85,43.41,Medium
74.05,24.17,17.72,6.33,60.78,Medium
76.51,47.39,31.15,7.16,40.38,High
60.33,44.44,7.42,6.17,5.0,Medium
69.88,62.74,59.65,5.33,56.31,Medium
9.85,24.14,50.83,5.76,67.28,Medium
91.32,9.79,51.65,8.86,53.86,Medium
42.96,20.9,12.41,7.25,18.72,Medium
58.84,14.21,0.8,5.91,41.37,Medium
22.99,30.14,23.22,6.07,39.66,Medium
42.21,17.39,51.19,6.79,63.11,High
67.98,56.66,28.69,7.14,39.09,Medium
